Spend line id,Source row count,Entity,Cluster,Country,Year,L1,L2,Supplier name,Net spend
spend_04aa27df4c85861c,3,Demo Alpine Operations,Central,Germany,2024,Marketing,Advertising and media,Demo Supplier 046,21042.47
spend_be0ca0913ecb41c0,4,Demo Alpine Operations,Central,Germany,2024,Marketing,Advertising and media,Demo Supplier 047,14523.01
spend_58528b8cac5d9b57,1,Demo Alpine Operations,Central,Germany,2024,Marketing,Advertising and media,Demo Supplier 048,2702.7
spend_836c72d1d8a28710,3,Demo Alpine Operations,Central,Germany,2024,Office,Office supplies,Demo Supplier 053,6493.12
spend_bc0c97c183cbeacf,3,Demo Alpine Operations,Central,Germany,2024,Office,Office supplies,Demo Supplier 054,1130.43
spend_cb671716175168d2,4,Demo Alpine Operations,Central,Germany,2024,Office,Office supplies,Demo Supplier 055,2210.09
spend_2dd5fd7ea4f4003c,2,Demo Alpine Operations,Central,Germany,2024,People,Recruitment,Demo Supplier 033,18697.63
spend_06d1bd5e68f1f117,1,Demo Alpine Operations,Central,Germany,2024,People,Recruitment,Demo Supplier 034,6702.62
spend_0b1c6b9eb67fbfb3,2,Demo Alpine Operations,Central,Germany,2024,People,Recruitment,Demo Supplier 035,10487.78
spend_49ce22591a4d81e2,1,Demo Alpine Operations,Central,Germany,2024,People,Recruitment,Demo Supplier 036,17333.28
spend_c228f0edb15927cf,5,Demo Alpine Operations,Central,Germany,2024,People,Temporary labour,Demo Supplier 041,52153.63
spend_a032cd9acbea77e9,2,Demo Alpine Operations,Central,Germany,2024,People,Temporary labour,Demo Supplier 043,11695.59
spend_511144ed50f7dad7,1,Demo Alpine Operations,Central,Germany,2024,People,Temporary labour,Demo Supplier 044,13112.44
spend_d1ef94ac2f976bca,2,Demo Alpine Operations,Central,Germany,2024,People,Training,Demo Supplier 038,3404.46
spend_ba0df649c052fc4b,1,Demo Alpine Operations,Central,Germany,2024,People,Training,Demo Supplier 039,2904.5
spend_ca0e1444562de546,2,Demo Alpine Operations,Central,Germany,2024,People,Training,Demo Supplier 040,2296.14
spend_b2668b36b0073682,5,Demo Alpine Operations,Central,Germany,2024,Professional services,Consulting,Demo Supplier 025,49730.21
spend_9a5b49e5511b40b7,6,Demo Alpine Operations,Central,Germany,2024,Professional services,Consulting,Demo Supplier 026,39289.6
spend_7060c7e3f8f2d557,1,Demo Alpine Operations,Central,Germany,2024,Professional services,Consulting,Demo Supplier 027,10384.87
spend_0432a16b44a5524a,3,Demo Alpine Operations,Central,Germany,2024,Professional services,Consulting,Demo Supplier 028,25205.46
spend_b26dc5fcf5f2aa4b,3,Demo Alpine Operations,Central,Germany,2024,Professional services,Legal and audit,Demo Supplier 029,17971.27
spend_492949971796e8f2,2,Demo Alpine Operations,Central,Germany,2024,Professional services,Legal and audit,Demo Supplier 030,8642.16
spend_be30479e6d5b09f4,4,Demo Alpine Operations,Central,Germany,2024,Professional services,Legal and audit,Demo Supplier 031,23330.52
spend_438bdf6398301f42,2,Demo Alpine Operations,Central,Germany,2024,Professional services,Legal and audit,Demo Supplier 032,15051.11
spend_b53090c9801df5e8,1,Demo Alpine Operations,Central,Germany,2024,Utilities,Electricity and gas,Demo Supplier 049,24491.74
spend_6c9978a4a3d69032,1,Demo Alpine Operations,Central,Germany,2024,Utilities,Electricity and gas,Demo Supplier 050,5482.92
spend_1bdafd4ffef79784,4,Demo Alpine Operations,Central,Germany,2024,Utilities,Electricity and gas,Demo Supplier 051,11831.49
spend_93498eb627919b58,1,Demo Alpine Operations,Central,Germany,2024,Utilities,Electricity and gas,Demo Supplier 052,7263.22
spend_1bcca8ba95070e0f,4,Demo Alpine Operations,Central,Germany,2025,Facilities,Building maintenance,Demo Supplier 001,27505.06
spend_1aff3f6b6d51f390,2,Demo Alpine Operations,Central,Germany,2025,Facilities,Building maintenance,Demo Supplier 002,23879.6
spend_21fcd4147ffeca94,3,Demo Alpine Operations,Central,Germany,2025,Facilities,Building maintenance,Demo Supplier 003,28029.11
spend_f2a025bcd8657b36,4,Demo Alpine Operations,Central,Germany,2025,Facilities,Building maintenance,Demo Supplier 004,30225.66
spend_cafb6e465432781b,4,Demo Alpine Operations,Central,Germany,2025,Facilities,Cleaning and security,Demo Supplier 005,14251.18
spend_01bdeb54fe0ca6dd,4,Demo Alpine Operations,Central,Germany,2025,Facilities,Cleaning and security,Demo Supplier 006,14098.15
spend_2573a69eed456285,2,Demo Alpine Operations,Central,Germany,2025,Facilities,Cleaning and security,Demo Supplier 007,7201.49
spend_db80036eebce9de0,3,Demo Alpine Operations,Central,Germany,2025,Facilities,Cleaning and security,Demo Supplier 008,9055.44
spend_b95488649fd33f3e,5,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Hardware,Demo Supplier 013,19061.59
spend_bdb9d2d0a1318750,1,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Hardware,Demo Supplier 014,12969.14
spend_c39eeeb5ae452d6d,8,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Hardware,Demo Supplier 015,35570.25
spend_5755e2194ca081c1,5,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Hardware,Demo Supplier 016,15603.06
spend_6c2fc73549a3f9e7,3,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Software licensing,Demo Supplier 009,19056.87
spend_edf6bf2b45941698,2,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Software licensing,Demo Supplier 010,14928.47
spend_6de24d09506b7f6d,2,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Software licensing,Demo Supplier 011,5125.37
spend_c8487faa05ad6fd3,4,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Software licensing,Demo Supplier 012,18518.24
spend_28bf5dc41395e907,3,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Telecommunications,Demo Supplier 017,9847.5
spend_0ac49a1c64faf22b,1,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Telecommunications,Demo Supplier 018,2197.55
spend_61bc5e760a09e9e0,5,Demo Alpine Operations,Central,Germany,2025,IT and telecom,Telecommunications,Demo Supplier 020,12325.1
spend_1e97ba7808519119,5,Demo Alpine Operations,Central,Germany,2025,Logistics,Freight and courier,Demo Supplier 021,29454.15
spend_92b7229b5747f1a3,2,Demo Alpine Operations,Central,Germany,2025,Logistics,Freight and courier,Demo Supplier 022,4973.05
spend_53f41017e3b21ff5,7,Demo Alpine Operations,Central,Germany,2025,Logistics,Freight and courier,Demo Supplier 023,43608.15
spend_e7660aef1baf30a7,5,Demo Alpine Operations,Central,Germany,2025,Logistics,Freight and courier,Demo Supplier 024,60849.35
spend_781e5e6b4bbdd7e4,3,Demo Alpine Operations,Central,Germany,2025,Marketing,Advertising and media,Demo Supplier 045,7971.77
spend_a824fe07d8c03a6d,2,Demo Alpine Operations,Central,Germany,2025,Marketing,Advertising and media,Demo Supplier 046,7878.99
spend_9e3898729ace6f4d,2,Demo Alpine Operations,Central,Germany,2025,Marketing,Advertising and media,Demo Supplier 048,5484.14
spend_06bfa9e0a4baab58,6,Demo Alpine Operations,Central,Germany,2025,Office,Office supplies,Demo Supplier 053,4165.38
spend_9ec7512e154a6e3f,3,Demo Alpine Operations,Central,Germany,2025,Office,Office supplies,Demo Supplier 054,4311.01
spend_0ac3b94066f5c32a,3,Demo Alpine Operations,Central,Germany,2025,Office,Office supplies,Demo Supplier 055,3950.21
spend_b27ccc95ec4f0848,1,Demo Alpine Operations,Central,Germany,2025,Office,Office supplies,Demo Supplier 056,661.24
spend_642b8e2ef5154d29,4,Demo Alpine Operations,Central,Germany,2025,People,Recruitment,Demo Supplier 033,7858.36
spend_24dd4183883a1a91,2,Demo Alpine Operations,Central,Germany,2025,People,Recruitment,Demo Supplier 034,7154.09
spend_379e03ec648637cd,4,Demo Alpine Operations,Central,Germany,2025,People,Recruitment,Demo Supplier 035,24565.14
spend_819b52a51c1d68fd,2,Demo Alpine Operations,Central,Germany,2025,People,Recruitment,Demo Supplier 036,8776.56
spend_fff65ebd98303c3a,7,Demo Alpine Operations,Central,Germany,2025,People,Temporary labour,Demo Supplier 041,42709.91
spend_d8454adc39d4e5b6,1,Demo Alpine Operations,Central,Germany,2025,People,Temporary labour,Demo Supplier 042,5726.95
spend_4a1fc974ab50d8ed,1,Demo Alpine Operations,Central,Germany,2025,People,Temporary labour,Demo Supplier 043,6068.16
spend_33bcd8fb499cfa85,2,Demo Alpine Operations,Central,Germany,2025,People,Training,Demo Supplier 038,10807.05
spend_a722b1591555697b,2,Demo Alpine Operations,Central,Germany,2025,People,Training,Demo Supplier 039,2983.47
spend_9cc4d13a97cbc9c3,2,Demo Alpine Operations,Central,Germany,2025,People,Training,Demo Supplier 040,3491.68
spend_05b42db7d085c258,3,Demo Alpine Operations,Central,Germany,2025,Professional services,Consulting,Demo Supplier 025,24300.61
spend_a7a1bbbeb3ebbe3d,7,Demo Alpine Operations,Central,Germany,2025,Professional services,Consulting,Demo Supplier 028,73454.61
spend_8091a1213cdc1511,3,Demo Alpine Operations,Central,Germany,2025,Professional services,Legal and audit,Demo Supplier 030,18718.57
spend_6c5ab9f52e86392c,3,Demo Alpine Operations,Central,Germany,2025,Professional services,Legal and audit,Demo Supplier 031,18845.82
spend_6da9f0388188c23d,5,Demo Alpine Operations,Central,Germany,2025,Utilities,Electricity and gas,Demo Supplier 049,49749.91
spend_03641525e1821708,3,Demo Alpine Operations,Central,Germany,2025,Utilities,Electricity and gas,Demo Supplier 050,25502.95
spend_5a1641774dec91ba,3,Demo Alpine Operations,Central,Germany,2025,Utilities,Electricity and gas,Demo Supplier 051,53384.65
spend_5883baff8eb32f5e,3,Demo Alpine Operations,Central,Germany,2025,Utilities,Electricity and gas,Demo Supplier 052,38118.45
spend_338d284fe5c093a6,1,Demo Baltic Logistics,North,Poland,2024,Facilities,Building maintenance,Demo Supplier 001,4831.85
spend_4a5e014de18912a1,2,Demo Baltic Logistics,North,Poland,2024,Facilities,Building maintenance,Demo Supplier 002,9510.83
spend_a5f74be8eccf587b,3,Demo Baltic Logistics,North,Poland,2024,Facilities,Building maintenance,Demo Supplier 003,13656.42
spend_dd2356d6b5dee649,4,Demo Baltic Logistics,North,Poland,2024,Facilities,Building maintenance,Demo Supplier 004,4331.43
spend_4efcfbb2fab23ff7,3,Demo Baltic Logistics,North,Poland,2024,Facilities,Cleaning and security,Demo Supplier 005,10964.38
spend_3f7125f14c17df84,3,Demo Baltic Logistics,North,Poland,2024,Facilities,Cleaning and security,Demo Supplier 006,10045.86
spend_155e06891e0747d9,3,Demo Baltic Logistics,North,Poland,2024,Facilities,Cleaning and security,Demo Supplier 007,16187.63
spend_0f8bada4a4c7f9d9,3,Demo Baltic Logistics,North,Poland,2024,Facilities,Cleaning and security,Demo Supplier 008,6839.95
spend_454bc29a13f834d8,1,Demo Baltic Logistics,North,Poland,2024,IT and telecom,Hardware,Demo Supplier 014,2026.27
spend_da9646161e763f51,3,Demo Baltic Logistics,North,Poland,2024,IT and telecom,Hardware,Demo Supplier 016,14154.15
spend_b216037bf531b55e,3,Demo Baltic Logistics,North,Poland,2024,IT and telecom,Software licensing,Demo Supplier 009,11638.03
spend_9bf3f908c2b3e193,5,Demo Baltic Logistics,North,Poland,2024,IT and telecom,Software licensing,Demo Supplier 010,35487.82
spend_c5ce1b65b1a5bb4e,2,Demo Baltic Logistics,North,Poland,2024,IT and telecom,Software licensing,Demo Supplier 011,10887.4
spend_f5ffde6d359227fc,1,Demo Baltic Logistics,North,Poland,2024,IT and telecom,Software licensing,Demo Supplier 012,21819.32
spend_1e76aa26965b7037,2,Demo Baltic Logistics,North,Poland,2024,IT and telecom,Telecommunications,Demo Supplier 017,8480.38
spend_e33721f5837dcaed,2,Demo Baltic Logistics,North,Poland,2024,IT and telecom,Telecommunications,Demo Supplier 018,4399.49
spend_54115f42627aa9e3,2,Demo Baltic Logistics,North,Poland,2024,IT and telecom,Telecommunications,Demo Supplier 019,3466.3
spend_e41600f116335265,1,Demo Baltic Logistics,North,Poland,2024,IT and telecom,Telecommunications,Demo Supplier 020,1674.12
spend_0ddc981b8dff7537,7,Demo Baltic Logistics,North,Poland,2024,Logistics,Freight and courier,Demo Supplier 021,52714.15
spend_0f7b13cf8856b56b,2,Demo Baltic Logistics,North,Poland,2024,Logistics,Freight and courier,Demo Supplier 022,9998.73
spend_bb1ce07bf9f826c3,3,Demo Baltic Logistics,North,Poland,2024,Logistics,Freight and courier,Demo Supplier 023,20780.06
spend_0fd9237b76b5b2c8,4,Demo Baltic Logistics,North,Poland,2024,Logistics,Freight and courier,Demo Supplier 024,51308.72
spend_151612f3a6058428,2,Demo Baltic Logistics,North,Poland,2024,Marketing,Advertising and media,Demo Supplier 045,9305.64
spend_c5c3ac9f26c74267,2,Demo Baltic Logistics,North,Poland,2024,Marketing,Advertising and media,Demo Supplier 046,12703.87
spend_13e9f70fb95a6e69,2,Demo Baltic Logistics,North,Poland,2024,Marketing,Advertising and media,Demo Supplier 047,19469.3
spend_fc4317fcc95394fa,2,Demo Baltic Logistics,North,Poland,2024,Marketing,Advertising and media,Demo Supplier 048,4566.94
spend_9a67b9b22a2cba31,2,Demo Baltic Logistics,North,Poland,2024,Office,Office supplies,Demo Supplier 053,3025.7
spend_e5b76e95e7a6ba3a,2,Demo Baltic Logistics,North,Poland,2024,Office,Office supplies,Demo Supplier 054,2441.57
spend_941882b1d976b8ba,5,Demo Baltic Logistics,North,Poland,2024,Office,Office supplies,Demo Supplier 055,8562.77
spend_37e6d862141a1d1a,2,Demo Baltic Logistics,North,Poland,2024,Office,Office supplies,Demo Supplier 056,2288.59
spend_133b0db47ac8e0b9,3,Demo Baltic Logistics,North,Poland,2024,People,Recruitment,Demo Supplier 033,9636.66
spend_c53ce8a65e98fc0b,3,Demo Baltic Logistics,North,Poland,2024,People,Recruitment,Demo Supplier 034,17242.54
spend_ea84e0fd7529bdb3,5,Demo Baltic Logistics,North,Poland,2024,People,Recruitment,Demo Supplier 035,25486.62
spend_27729a9bacc7de9d,3,Demo Baltic Logistics,North,Poland,2024,People,Recruitment,Demo Supplier 036,20530.96
spend_a6db1998d453b03f,1,Demo Baltic Logistics,North,Poland,2024,People,Temporary labour,Demo Supplier 041,2805.9
spend_f7b19d547efb7590,1,Demo Baltic Logistics,North,Poland,2024,People,Temporary labour,Demo Supplier 042,1617.74
spend_6048795ec822f540,4,Demo Baltic Logistics,North,Poland,2024,People,Temporary labour,Demo Supplier 044,23130.26
spend_89fe2b271cfbecfa,1,Demo Baltic Logistics,North,Poland,2024,People,Training,Demo Supplier 038,7234.01
spend_0006dbddd4aae6f7,3,Demo Baltic Logistics,North,Poland,2024,People,Training,Demo Supplier 039,4789.93
spend_406f1832be4a04d2,1,Demo Baltic Logistics,North,Poland,2024,People,Training,Demo Supplier 040,2822.45
spend_8256660bd9e4d3a5,3,Demo Baltic Logistics,North,Poland,2024,Professional services,Consulting,Demo Supplier 025,35060.47
spend_497702eb024eecfa,3,Demo Baltic Logistics,North,Poland,2024,Professional services,Consulting,Demo Supplier 026,21945.6
spend_d9acf7492a1a107b,2,Demo Baltic Logistics,North,Poland,2024,Professional services,Consulting,Demo Supplier 027,12853.92
spend_f58c114c8372b616,3,Demo Baltic Logistics,North,Poland,2024,Professional services,Consulting,Demo Supplier 028,37914.81
spend_6916d3616b88e8bc,1,Demo Baltic Logistics,North,Poland,2024,Professional services,Legal and audit,Demo Supplier 030,1596.83
spend_b36f3aee9781a40f,1,Demo Baltic Logistics,North,Poland,2024,Professional services,Legal and audit,Demo Supplier 031,3718.04
spend_71101bfbf13c1865,3,Demo Baltic Logistics,North,Poland,2024,Professional services,Legal and audit,Demo Supplier 032,11970.67
spend_500696802747cea8,4,Demo Baltic Logistics,North,Poland,2024,Utilities,Electricity and gas,Demo Supplier 049,50071.17
spend_d56f32809362ea39,4,Demo Baltic Logistics,North,Poland,2024,Utilities,Electricity and gas,Demo Supplier 050,35290.4
spend_46e3d49c1a9bcdc3,3,Demo Baltic Logistics,North,Poland,2024,Utilities,Electricity and gas,Demo Supplier 051,34717.34
spend_78bb082cf16c16ee,2,Demo Baltic Logistics,North,Poland,2024,Utilities,Electricity and gas,Demo Supplier 052,6358.65
spend_7b1212dd6882ef9e,3,Demo Baltic Logistics,North,Poland,2025,Facilities,Building maintenance,Demo Supplier 001,18833.51
spend_1bb40d2f14328629,4,Demo Baltic Logistics,North,Poland,2025,Facilities,Building maintenance,Demo Supplier 002,27731.23
spend_6fcb64d20a651aa0,3,Demo Baltic Logistics,North,Poland,2025,Facilities,Building maintenance,Demo Supplier 003,3868.83
spend_1e6d5397ed351f54,1,Demo Baltic Logistics,North,Poland,2025,Facilities,Building maintenance,Demo Supplier 004,3972.94
spend_aa038b6a438edc1e,2,Demo Baltic Logistics,North,Poland,2025,Facilities,Cleaning and security,Demo Supplier 005,8611.1
spend_d5b2ccfd27a2d625,5,Demo Baltic Logistics,North,Poland,2025,Facilities,Cleaning and security,Demo Supplier 006,17044.71
spend_90331ba4aa7782f2,3,Demo Baltic Logistics,North,Poland,2025,Facilities,Cleaning and security,Demo Supplier 007,3106.4
spend_0b5e5770cf014677,1,Demo Baltic Logistics,North,Poland,2025,Facilities,Cleaning and security,Demo Supplier 008,3447.79
spend_f0b91661f7b10ca1,1,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Hardware,Demo Supplier 013,5471.46
spend_8d2f153891c5bd32,4,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Hardware,Demo Supplier 014,11372.8
spend_792b224b0c9b4795,5,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Hardware,Demo Supplier 015,33174.86
spend_693600c623f0381e,1,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Hardware,Demo Supplier 016,9466.26
spend_6272c253a1c9bdfa,2,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Software licensing,Demo Supplier 009,9074.86
spend_4a9158ab2eefc8f7,3,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Software licensing,Demo Supplier 010,21817.17
spend_f0636d86efb7ac61,6,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Software licensing,Demo Supplier 011,38553.81
spend_5c7d9d708f25d0d1,5,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Software licensing,Demo Supplier 012,29303.68
spend_1ed6bae13be6f04c,2,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Telecommunications,Demo Supplier 018,4489.32
spend_3cfcf071795ae047,3,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Telecommunications,Demo Supplier 019,14621.65
spend_36f61897a378d672,1,Demo Baltic Logistics,North,Poland,2025,IT and telecom,Telecommunications,Demo Supplier 020,1030.21
spend_5638d4f1d161d429,6,Demo Baltic Logistics,North,Poland,2025,Logistics,Freight and courier,Demo Supplier 021,55054.96
spend_267d4a784d3e9656,5,Demo Baltic Logistics,North,Poland,2025,Logistics,Freight and courier,Demo Supplier 022,28306.55
spend_f957627678941e86,6,Demo Baltic Logistics,North,Poland,2025,Logistics,Freight and courier,Demo Supplier 023,30766.08
spend_276d82584e8e1fa0,5,Demo Baltic Logistics,North,Poland,2025,Logistics,Freight and courier,Demo Supplier 024,26512.52
spend_09c4c23fd057c15f,1,Demo Baltic Logistics,North,Poland,2025,Marketing,Advertising and media,Demo Supplier 045,8370.05
spend_dc799eeb58bf4beb,2,Demo Baltic Logistics,North,Poland,2025,Marketing,Advertising and media,Demo Supplier 046,14387.9
spend_d8d55d7f9d634aed,1,Demo Baltic Logistics,North,Poland,2025,Marketing,Advertising and media,Demo Supplier 047,11092.05
spend_086074ad9a00ae23,2,Demo Baltic Logistics,North,Poland,2025,Marketing,Advertising and media,Demo Supplier 048,8432.23
spend_692bb55f99df3d0f,1,Demo Baltic Logistics,North,Poland,2025,Office,Office supplies,Demo Supplier 054,647.68
spend_232508e6f9ade5eb,4,Demo Baltic Logistics,North,Poland,2025,Office,Office supplies,Demo Supplier 055,3252.97
spend_601dc1b8edd92c0e,3,Demo Baltic Logistics,North,Poland,2025,Office,Office supplies,Demo Supplier 056,7353.45
spend_5b6fec2efbff762f,1,Demo Baltic Logistics,North,Poland,2025,People,Recruitment,Demo Supplier 033,3479.68
spend_d3bfb804fab60658,3,Demo Baltic Logistics,North,Poland,2025,People,Recruitment,Demo Supplier 034,8476.44
spend_90025eb8bd2160d6,1,Demo Baltic Logistics,North,Poland,2025,People,Recruitment,Demo Supplier 036,8048.88
spend_7733752521c95e4a,2,Demo Baltic Logistics,North,Poland,2025,People,Temporary labour,Demo Supplier 041,13083.73
spend_22bfb26ec16638e2,2,Demo Baltic Logistics,North,Poland,2025,People,Temporary labour,Demo Supplier 042,6787.28
spend_58f6407ecfcc777c,2,Demo Baltic Logistics,North,Poland,2025,People,Temporary labour,Demo Supplier 044,12488.02
spend_9167fa6fbf12244b,1,Demo Baltic Logistics,North,Poland,2025,People,Training,Demo Supplier 038,1993.07
spend_75d668a0a5dbe939,1,Demo Baltic Logistics,North,Poland,2025,People,Training,Demo Supplier 040,2549.65
spend_59f2f744023dc1c6,1,Demo Baltic Logistics,North,Poland,2025,Professional services,Consulting,Demo Supplier 025,10045.14
spend_92452cc217c920a7,1,Demo Baltic Logistics,North,Poland,2025,Professional services,Consulting,Demo Supplier 026,5110.96
spend_fc43bfd5b1bb2d35,4,Demo Baltic Logistics,North,Poland,2025,Professional services,Consulting,Demo Supplier 028,31451.42
spend_de8a985b1b7bc57a,2,Demo Baltic Logistics,North,Poland,2025,Professional services,Legal and audit,Demo Supplier 029,9479.46
spend_7a2934dff2c171a2,1,Demo Baltic Logistics,North,Poland,2025,Professional services,Legal and audit,Demo Supplier 030,4979.66
spend_b921b940a29e64f1,2,Demo Baltic Logistics,North,Poland,2025,Professional services,Legal and audit,Demo Supplier 032,2641.09
spend_47035c096bcba01a,1,Demo Baltic Logistics,North,Poland,2025,Utilities,Electricity and gas,Demo Supplier 049,6324.53
spend_fa936438be30ffea,4,Demo Baltic Logistics,North,Poland,2025,Utilities,Electricity and gas,Demo Supplier 050,27534.51
spend_8f984047660bb3df,2,Demo Baltic Logistics,North,Poland,2025,Utilities,Electricity and gas,Demo Supplier 051,24568.09
spend_2ee266ce1ff97c10,3,Demo Baltic Logistics,North,Poland,2025,Utilities,Electricity and gas,Demo Supplier 052,17738.2
spend_f2c4f7366706f88a,1,Demo Benelux Trading,Central,Netherlands,2024,Facilities,Building maintenance,Demo Supplier 001,10758.49
spend_91e66d8e6433814b,2,Demo Benelux Trading,Central,Netherlands,2024,Facilities,Building maintenance,Demo Supplier 002,14082.49
spend_3f684ae142858bc7,6,Demo Benelux Trading,Central,Netherlands,2024,Facilities,Building maintenance,Demo Supplier 003,51058.39
spend_d150b8a7e02d2e58,3,Demo Benelux Trading,Central,Netherlands,2024,Facilities,Building maintenance,Demo Supplier 004,16711.91
spend_3d3ca528125203c0,4,Demo Benelux Trading,Central,Netherlands,2024,Facilities,Cleaning and security,Demo Supplier 005,5197.62
spend_afa18184546ff5a3,1,Demo Benelux Trading,Central,Netherlands,2024,Facilities,Cleaning and security,Demo Supplier 006,2072.64
spend_ecda952b4077f3b2,3,Demo Benelux Trading,Central,Netherlands,2024,Facilities,Cleaning and security,Demo Supplier 007,12400.11
spend_a06618987334bec8,5,Demo Benelux Trading,Central,Netherlands,2024,Facilities,Cleaning and security,Demo Supplier 008,12930.14
spend_ec14079b156d2a58,1,Demo Benelux Trading,Central,Netherlands,2024,IT and telecom,Hardware,Demo Supplier 013,-4496.07
spend_537cfb02e2865591,1,Demo Benelux Trading,Central,Netherlands,2024,IT and telecom,Hardware,Demo Supplier 014,7721.26
spend_0ea20a15fda6b0e5,3,Demo Benelux Trading,Central,Netherlands,2024,IT and telecom,Hardware,Demo Supplier 015,10431.55
spend_75e1aef1fb673f45,4,Demo Benelux Trading,Central,Netherlands,2024,IT and telecom,Hardware,Demo Supplier 016,20640.41
spend_b1c84878b4d22e0d,2,Demo Benelux Trading,Central,Netherlands,2024,IT and telecom,Software licensing,Demo Supplier 009,10863.74
spend_d988b6cd6a34a16a,1,Demo Benelux Trading,Central,Netherlands,2024,IT and telecom,Software licensing,Demo Supplier 010,7664.7
spend_cafe63c2708a87db,7,Demo Benelux Trading,Central,Netherlands,2024,IT and telecom,Software licensing,Demo Supplier 011,51523.04
spend_3be50313b9230bbd,2,Demo Benelux Trading,Central,Netherlands,2024,IT and telecom,Software licensing,Demo Supplier 012,4989.26
spend_b23f0aaa538f72e6,3,Demo Benelux Trading,Central,Netherlands,2024,IT and telecom,Telecommunications,Demo Supplier 017,13907.27
